url_path,views_total,views_unique
/hhollandmoritz/git_guide,8,2
/hhollandmoritz/git_guide/tree/github-repo-stats/hhollandmoritz/git_guide,4,1
/hhollandmoritz/git_guide/tree/master/.github/workflows,4,1
/hhollandmoritz/git_guide/blob/master/README.md,3,1
/hhollandmoritz/git_guide/blob/github-repo-stats/hhollandmoritz/git_guide/latest-report/report.pdf,2,1
/hhollandmoritz/git_guide/blob/master/.github/workflows/github-repo-stats.yml,2,1
/hhollandmoritz/git_guide/blob/master/git_lesson.md,2,1
/hhollandmoritz/git_guide/tree/github-repo-stats/hhollandmoritz,2,1
/hhollandmoritz/git_guide/tree/github-repo-stats/hhollandmoritz/git_guide/latest-report,2,1
/hhollandmoritz/git_guide/tree/master,2,1
