time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-28 00:00:00+00:00,1,1,0,0
2023-05-11 00:00:00+00:00,12,7,31,1
2023-05-12 00:00:00+00:00,5,4,0,0
2023-05-13 00:00:00+00:00,4,3,0,0
2023-05-14 00:00:00+00:00,4,3,0,0
2023-05-15 00:00:00+00:00,5,4,0,0
2023-05-16 00:00:00+00:00,4,3,0,0
2023-05-17 00:00:00+00:00,4,3,2,1
2023-05-18 00:00:00+00:00,3,2,0,0
2023-05-19 00:00:00+00:00,3,2,5,2
2023-05-20 00:00:00+00:00,4,3,0,0
2023-05-21 00:00:00+00:00,4,3,0,0
2023-05-22 00:00:00+00:00,5,4,0,0
2023-05-23 00:00:00+00:00,6,4,0,0
2023-05-24 00:00:00+00:00,3,2,1,1
2023-05-25 00:00:00+00:00,4,3,0,0
2023-05-26 00:00:00+00:00,4,3,0,0
2023-05-27 00:00:00+00:00,3,2,0,0
2023-05-28 00:00:00+00:00,5,4,0,0
2023-05-29 00:00:00+00:00,6,5,0,0
2023-05-30 00:00:00+00:00,4,3,0,0
2023-05-31 00:00:00+00:00,5,4,0,0
2023-06-01 00:00:00+00:00,4,3,0,0
2023-06-02 00:00:00+00:00,4,3,0,0
2023-06-03 00:00:00+00:00,5,4,0,0
2023-06-04 00:00:00+00:00,3,2,0,0
2023-06-05 00:00:00+00:00,4,3,0,0
2023-06-06 00:00:00+00:00,2,2,0,0
2023-06-07 00:00:00+00:00,3,2,0,0
2023-06-08 00:00:00+00:00,3,2,0,0
2023-06-09 00:00:00+00:00,3,2,10,5
